"","country_id","party","party_id","cee","ches_id","family","cmp_id","parlgov_id","manichean","indivisble","generalwill","peoplecentrism","antielitism","complex","emotional","lroverall","lrecon","immigration","eu","nativism","laworder","lifestyle","intradem","personalised","nr_experts","mean_expert_response","populism"
"105","GE","CSU",1203,0,308,4,NA,1180,5.5,5,4.70588254928589,3.88888883590698,2.55555558204651,5.52941179275513,6.33333349227905,7.11111116409302,5.66666650772095,2.44444441795349,5.61111116409302,7.33333349227905,8,2.44444441795349,3.33333325386047,7.83333349227905,18,17.8125,3.24721002578735
"106","GE","Linke",1204,0,306,6,41223,791,6.55555534362793,4.29411745071411,5.625,6.41176462173462,6.5,3.94117641448975,6.44444465637207,1.27777779102325,1.22222220897675,5.88235282897949,4.27777767181396,3.72222232818604,3.83333325386047,6.70588254928589,5.35294103622437,4.83333349227905,18,17.5,5.55934524536133
"107","GE","AfD",1205,0,310,1,41953,2253,9,8.76470565795898,8.88235282897949,8.23529434204102,8.83333301544189,1.88235294818878,8.88888931274414,8.94444465637207,6.61111116409302,0.444444447755814,0.944444417953491,9.66666698455811,9.22222232818604,1.27777779102325,4.29411745071411,6.66666650772095,18,17.6875,9.43745517730713
"108","GE","B90Grune",1206,0,304,7,41113,772,4.27777767181396,1.23529410362244,2.05882358551025,4,3.88888883590698,6.58823537826538,5.22222232818604,3.16666674613953,3.5,8.17647075653076,8.77777767181396,0.944444417953491,1.5,8.88888931274414,7.72222232818604,4.44444465637207,18,17.6875,1.45297014713287
"109","GE","FDP",1207,0,303,3,41420,543,3.44444441795349,1.4375,1.64705884456635,2.66666674613953,1,5.8125,4.05555534362793,6.27777767181396,8.16666698455811,4.35294103622437,6.22222232818604,3.55555558204651,3.05555558204651,7.44444465637207,4.11111116409302,8.61111068725586,18,17.5625,2.51340537715805e-07
"110","GR","SYRIZA",1301,0,403,6,34212,1441,7.53846168518066,6.23076915740967,7,8.15384578704834,8.307692527771,4.81818199157715,8.16666698455811,2.8461537361145,3.07692313194275,8.15384578704834,5.8461537361145,1.61538457870483,1.07692313194275,8.76923084259033,6.23076915740967,7.07692289352417,13,12.75,7.63402414321899
"111","GR","ND",1302,0,402,2,34511,47,5.692307472229,4,3.91666674613953,3.61538457870483,2.07692313194275,6.36363649368286,6.41666650772095,7.23076915740967,8.15384578704834,3.1538462638855,8.84615421295166,6.76923084259033,7.53846168518066,2.76923084259033,4.46153831481934,7,13,12.75,2.5944516658783
"112","GR","XA",1303,0,415,1,34720,2092,9.53846168518066,9.61538505554199,9.41666698455811,6.46153831481934,7.25,1.5,9.66666698455811,10,3.30769228935242,0,0.384615391492844,10,10,0,0.538461565971375,9.692307472229,13,12.625,9.12032318115234
"113","GR","PASOK",1304,0,401,5,34313,1338,4.91666650772095,4.58333349227905,3.72727274894714,4.91666650772095,2.91666674613953,6.90000009536743,5.72727251052856,4.91666650772095,5.33333349227905,6,8.91666698455811,3.58333325386047,4.25,6.75,4.66666650772095,6.41666650772095,13,11.75,2.8640832901001
"114","GR","KKE",1305,0,404,6,34210,614,7.1538462638855,6.92307710647583,7.83333349227905,6.61538457870483,7.76923084259033,3.72727274894714,5.58333349227905,0.615384638309479,0.230769231915474,6.46153831481934,0.384615391492844,1.92307686805725,3,4.307692527771,1.69230771064758,4.692307472229,13,12.6875,7.51697111129761
"115","GR","Potami",1306,0,413,5,34340,2346,4,3.58333325386047,3,4.08333349227905,3,6.80000019073486,3.81818175315857,5.5,6.58333349227905,6.5,9.41666698455811,2.08333325386047,3.08333325386047,8.5,6.33333349227905,6.66666650772095,13,11.75,1.9192328453064
"116","GR","ANEL",1307,0,412,1,34730,2091,8.38461494445801,8.61538505554199,8.08333301544189,7.76923084259033,7.8461537361145,3,8.66666698455811,8.307692527771,4.53846168518066,1.76923072338104,4.307692527771,8.38461494445801,7.92307710647583,1.30769228935242,2.30769228935242,8.92307662963867,13,12.625,8.4623498916626
"117","GR","EK",1308,0,450,5,34410,2165,6.25,6,6.80000019073486,6.59999990463257,6.36363649368286,4.11111116409302,5.80000019073486,5.307692527771,4.80000019073486,3.40000009536743,6.27272748947144,5.69999980926514,5.58333349227905,3,2.16666674613953,9.15384578704834,13,11.0625,6.29303073883057
"118","GR","LAE",1309,0,NA,6,34214,2596,8.23076915740967,7.61538457870483,8.27272701263428,8.83333301544189,8.83333301544189,2.63636374473572,8,1.30769228935242,0.916666686534882,7.83333349227905,1.38461542129517,2,1.69230771064758,7.90909099578857,5.16666650772095,5,13,12.1875,8.95044422149658
"119","GR","KA",1310,0,NA,5,NA,NA,4.53846168518066,4.25,3.66666674613953,4.58333349227905,2.75,5.45454549789429,4.83333349227905,4.92307710647583,5.307692527771,5.92307710647583,8.84615421295166,3.38461542129517,4,7.46153831481934,5.66666650772095,5.92307710647583,13,12.5,2.57155418395996
"120","HU","Fidesz",1401,1,2302,2,86421,437,9.5714282989502,8.84615421295166,9.15384578704834,7.38461542129517,6.57142877578735,2.30769228935242,9.692307472229,8.76923084259033,4,0.928571403026581,2.64285707473755,9.2857141494751,9,0.928571403026581,1.23076927661896,9.5714282989502,14,13.5625,9.011643409729
"121","HU","MSZP",1402,1,2301,5,86220,1591,3.78571438789368,3.92307686805725,3.75,4.5,3.14285707473755,5.38461542129517,5.1538462638855,3.42857146263123,4.92857122421265,4.42857122421265,8.5,2.42857146263123,3.5,5.92857122421265,6.25,3.71428561210632,14,13.4375,2.45085763931274
"122","HU","Jobbik",1403,1,2308,1,86710,600,7.57142877578735,7,7.1538462638855,7.1538462638855,7.42857122421265,3.38461542129517,8.23076915740967,8.38461494445801,3.78571438789368,1.14285719394684,3.21428561210632,9.0714282989502,8.2857141494751,1.57142853736877,4.72727251052856,6.7142858505249,14,13.4375,7.32630586624146
"123","HU","LMP",1404,1,2309,7,86110,403,4.7142858505249,3.46153855323792,4,4.91666650772095,5,5.92307710647583,5.1538462638855,4.35714292526245,4.35714292526245,5.2142858505249,7.5,3.23076915740967,2.71428561210632,7,7.07692289352417,4.2857141494751,14,13.5,3.33864092826843
"124","HU","DK",1405,1,2311,5,86221,1970,5.42857122421265,2.70000004768372,4.08333349227905,4.09090900421143,3.28571438789368,5.5,5.76923084259033,3.92857146263123,5.1538462638855,5.61538457870483,8.85714244842529,1.57142853736877,2.38461542129517,7.5,4.66666650772095,8.4285717010498,14,12.75,2.90718030929565
"125","HU","Egyutt",1406,1,2310,9,NA,2318,3.61538457870483,2.29999995231628,2.79999995231628,3,2.66666674613953,7,4.63636350631714,4.23076915740967,5.75,5.75,8.92307662963867,1.41666662693024,1.92307686805725,7.76923084259033,7.5,3.76923084259033,14,11.5625,1.22884905338287
"126","HU","Parbeszed",1407,1,2312,7,NA,2349,3.76923084259033,2.40000009536743,2.90909099578857,3.5,2.90909099578857,6.72727251052856,4.90000009536743,3.45454549789429,4.30000019073486,5.81818199157715,8.75,1,1.90909087657928,7.72727251052856,7.66666650772095,3.92307686805725,14,10.9375,1.52907419204712
"127","IR","FG",1501,0,702,4,53520,1393,3.09999990463257,3.33333325386047,4.11111116409302,3.40000009536743,2.09999990463257,7,4.40000009536743,6.5,6.59999990463257,5.40000009536743,8.19999980926514,3.70000004768372,6.59999990463257,5.80000019073486,5.90000009536743,7,10,9.875,1.88348233699799
"128","IR","FF",1502,0,701,2,53620,280,3.20000004768372,4.44444465637207,4.77777767181396,4.69999980926514,3.79999995231628,6.19999980926514,5,5.69999980926514,5.40000009536743,5.30000019073486,7.30000019073486,4.09999990463257,6.40000009536743,3.90000009536743,5.59999990463257,7.30000019073486,10,9.875,3.10923767089844
"129","IR","SF",1503,0,707,8,53951,2217,7.09999990463257,4.77777767181396,5.77777767181396,6.80000019073486,7.80000019073486,3.5,7.19999980926514,3.40000009536743,3,5.75,4.19999980926514,5.30000019073486,4.09999990463257,6.19999980926514,3.40000009536743,8.19999980926514,10,9.75,6.23309707641602
"130","IR","Lab",1504,0,703,5,53320,318,3.70000004768372,2.88888883590698,4,4.80000019073486,4.19999980926514,6.19999980926514,4.59999990463257,4.40000009536743,4.09999990463257,6.22222232818604,7.40000009536743,3.09999990463257,4,7.80000019073486,6.30000019073486,5.69999980926514,10,9.8125,2.79977989196777
"131","IR","IA1",1505,0,NA,9,53981,2622,4.7142858505249,4,5.80000019073486,6.59999990463257,7.33333349227905,3,6.66666650772095,6,5.7142858505249,3.59999990463257,5.40000009536743,5,7.33333349227905,4.16666650772095,5.5,4.125,10,5.9375,5.36657238006592
"132","IR","SP",1506,0,708,6,53230,1014,6.66666650772095,2.71428561210632,6.125,6.875,7.88888883590698,3.28571438789368,6.2857141494751,1.44444441795349,2,7.16666650772095,2.42857146263123,2.42857146263123,3.14285707473755,8.625,4,4.57142877578735,10,7.5,6.17462253570557
"133","IR","I4C",1507,0,NA,9,NA,2621,6.14285707473755,3.16666674613953,4.83333349227905,7.5,8,3,7.57142877578735,4.14285707473755,3.42857146263123,6,3.79999995231628,4.40000009536743,4.57142877578735,6.875,5.5,2.20000004768372,10,6.3125,5.54185914993286
"134","IR","SD",1508,0,NA,5,53420,2619,4.30000019073486,3,4.375,5.875,5.66666650772095,5.5,5.25,3.29999995231628,3.40000009536743,6.7142858505249,6.77777767181396,2.25,3.5,8.33333301544189,6.66666650772095,5.5,10,8.3125,3.80297684669495
"135","IR","GP",1509,0,705,7,53110,1573,4.80000019073486,2.66666674613953,4,6.19999980926514,5,6.69999980926514,4.59999990463257,3.40000009536743,3.5,7,7.80000019073486,2.11111116409302,3,8.30000019073486,8,4.19999980926514,10,9.625,3.63902592658997
"136","IR","SPBP",1510,0,709,6,53231,1804,7.19999980926514,2.875,5.125,7.75,8.11111068725586,3,7.25,1.5,1.70000004768372,7.33333349227905,2.77777767181396,2.55555558204651,2.66666674613953,8.66666698455811,5.66666650772095,5,10,8.4375,6.06189203262329
"137","IT","PD",1601,0,837,5,32440,382,3.9375,3.5,3.9375,3.1875,2.6875,7.2857141494751,5.9375,4.375,5.5,5.5625,8.9375,2.1875,3.5,7.1875,7,6.75,16,15.875,2.10670518875122
"138","IT","M5S",1602,0,845,9,32956,2155,9.125,8.125,8.4375,9,9.1875,2.64285707473755,8.625,5.63636350631714,4.3125,3.0625,3.5625,6.19999980926514,5.25,5.875,3.625,7.625,16,15.5,9.45520496368408
"139","IT","FI",1603,0,815,2,32610,596,7.125,5.4375,6.125,5.1875,5.625,4.7857141494751,8.25,7.3125,7.625,2.875,5,6.25,6.5,4.6875,1.1875,9.375,16,15.875,5.5639181137085
"140","IT","LN",1604,0,811,8,32720,1436,8.5625,7.9375,8.0625,7.75,8.5625,2.57142853736877,9.625,8.875,6.6875,1.125,1.9375,9.1875,8.9375,2.1875,3.375,8.75,16,15.875,8.5998363494873
"141","IT","FdlCN",1605,0,844,1,32630,2154,7.25,7.6875,7.5625,6.875,7.375,2.92307686805725,8.5625,9.1875,5.375,1.25,2.125,9.3125,9,1.875,2.91666674613953,7.3125,16,15.5625,7.43679332733154
"142","IT","MDP",1606,0,851,5,NA,NA,4.40000009536743,3.09090900421143,3.58333325386047,4,3.5,5.7142858505249,4.5,2.86666655540466,2.71428561210632,6.42857122421265,6.66666650772095,1.85714280605316,2.46153855323792,7.14285707473755,4.30000019073486,3.46153855323792,16,11.8125,2.40361714363098
"143","IT","SI",1607,0,850,5,NA,465,5.09090900421143,3,3.8461537361145,4.90909099578857,5,4.625,4.81818199157715,1.875,2,6.80000019073486,4.76923084259033,1.39999997615814,1.53333330154419,7.66666650772095,5.30000019073486,2.78571438789368,16,12.8125,3.31539821624756
"144","LI","LVLS",1701,1,2507,11,88820,191,6.83333349227905,7.33333349227905,7,6.66666650772095,7.66666650772095,4.66666650772095,7.16666650772095,5.16666650772095,4.5,3.59999990463257,5.59999990463257,6.16666650772095,7.5,1.5,3.59999990463257,8.66666698455811,6,5.8125,6.98971176147461
"145","LI","TSLKD",1702,1,2506,2,88621,1045,5.5,3.66666674613953,4,3.33333325386047,1.83333337306976,6.83333349227905,5.83333349227905,7.83333349227905,7.5,4.16666650772095,8.83333301544189,6.33333349227905,6.5,3,7.83333349227905,7.16666650772095,6,6,2.4293909072876
"146","LI","LSDP",1703,1,2501,5,88320,1277,4,3.33333325386047,3.83333325386047,4,3.16666674613953,7,4.33333349227905,3.66666674613953,3.33333325386047,4.80000019073486,8.83333301544189,3,3.16666674613953,6.5,6.66666650772095,6.5,6,5.875,2.37801456451416
"147","LI","LRLS",1704,1,2518,3,88450,482,4.33333349227905,2.33333325386047,2.66666674613953,3,1.66666662693024,6.16666650772095,4.5,7.5,9,6,8.16666698455811,3.33333325386047,2.5,7.66666650772095,6.19999980926514,4.83333349227905,6,5.9375,1.12751376628876
